"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"D1CG5","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,186.023,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,30.007,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BE",FALSE,19.471,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,87.641,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,47.274,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"X",FALSE,46.366,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,122.109,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,8.005,1,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"EX",FALSE,55.577,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Which shift(s) end at 3pm?",14,"BF",FALSE,150.686,2,"Orth-Full","online-replication"
"D1CG5","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,30.796,2,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,7.242,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,9.531,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,11.782,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"U",FALSE,77.202,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O",TRUE,71.578,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,8.4,2,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"OX",TRUE,24.993,2,"Orth-Full","online-replication"
