"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"JAD4Q","asynch","Tri-Isosceles",11,7,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",12,8,"TRI","isosceles"
"JAD4Q","asynch","Tri-Isosceles",13,9,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"5380A","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"PBAU4","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"7116F","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"TPV5H","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"5012K","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"HJESG","asynch","Tri-Isosceles",13,1,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
